iter	Passed	Remaining
242	5448	61821
243	5469	61774
244	5488	61715
245	5508	61668
246	5526	61600
247	5546	61550
248	5566	61499
249	5585	61444
250	5605	61392
251	5626	61355
252	5646	61309
253	5666	61265
254	5686	61214
255	5706	61170
256	5727	61125
257	5749	61109
258	5770	61066
259	5791	61031
260	5811	60984
261	5832	60954
262	5852	60905
263	5873	60874
264	5893	60827
265	5913	60782
266	5933	60736
267	5954	60701
268	5974	60657
269	5995	60620
270	6015	60579
271	6036	60544
272	6057	60510
273	6077	60466
274	6100	60446
275	6120	60404
276	6141	60370
277	6162	60339
278	6183	60305
279	6204	60276
280	6224	60225
281	6244	60185
282	6265	60151
283	6289	60151
284	6312	60130
285	6332	60095
286	6354	60073
287	6375	60038
288	6396	60002
289	6416	59957
290	6437	59925
291	6456	59881
292	6477	59849
293	6498	59810
294	6518	59772
295	6539	59742
296	6560	59704
297	6579	59654
298	6600	59624
299	6619	59574
300	6639	59533
301	6660	59500
302	6680	59460
303	6701	59431
304	6721	59389
305	6742	59362
306	6762	59322
307	6783	59290
308	6803	59252
309	6825	59227
310	6844	59181
311	6865	59152
312	6889	59141
313	6909	59105
314	6930	59076
315	6949	59030
316	6969	58989
317	6992	58972
318	7013	58945
319	7035	58920
320	7055	58882
321	7074	58840
322	7095	58807
323	7115	58769
324	7136	58740
325	7155	58693
326	7176	58660
327	7197	58630
328	7216	58589
329	7237	58556
330	7256	58512
331	7276	58474
332	7297	58445
333	7317	58405
334	7338	58377
335	7357	58336
336	7378	58303
337	7397	58264
338	7418	58232
339	7439	58202
340	7459	58165
341	7480	58135
342	7499	58095
343	7520	58064
344	7542	58042
345	7561	57998
346	7582	57970
347	7602	57932
348	7622	57898
349	7643	57870
350	7663	57835
351	7684	57804
352	7702	57757
353	7721	57714
354	7743	57693
355	7761	57642
356	7784	57632
357	7803	57589
358	7823	57552
359	7843	57518
360	7864	57492
361	7886	57468
362	7907	57441
363	7927	57407
364	7947	57371
365	7966	57329
366	7985	57291
367	8005	57253
368	8025	57219
369	8045	57185
370	8066	57160
371	8087	57132
372	8106	57092
373	8126	57059
374	8145	57018
375	8164	56980
376	8185	56947
377	8204	56908
378	8223	56867
379	8242	56830
380	8262	56799
381	8286	56789
382	8308	56772
383	8331	56759
384	8353	56737
385	8374	56711
386	8394	56675
387	8414	56642
388	8433	56604
389	8452	56565
390	8471	56527
391	8491	56493
392	8512	56466
393	8532	56432
394	8550	56392
395	8571	56361
396	8588	56312
397	8608	56282
398	8629	56254
399	8650	56227
400	8671	56199
401	8691	56170
402	8712	56144
403	8734	56123
